ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
377350,Chembur,Mumbai,M. S. Snacks Center,509.4614834790283,2.9,80.0,"Chinese,Indian,Snacks",Chembur,57
377432,Salt Lake,Kolkata,Cafe Darshani,491.8041963093443,3.9,20.0,South Indian,Salt Lake,66
377445,Marol Sakinaka,Mumbai,Oishi Oishi By Persian Darbar,607.9843570779811,2.9,80.0,Chinese  Japanese  Pan-Asian  Tibetan  Asian  Beverages,Marol Sakinaka,51
377576,Alwarpet,Chennai,Svah Express,661.1721249247715,4.2,50.0,"Indian,Continental,Desserts,Beverages",Alwarpet,77
377616,Athwa,Surat,Dilip Dabeli,513.3989552760554,4.2,20.0,"Snacks,Chaat,Fast Food",Athwa,35
377625,Near Rto Pal Gam,Surat,Krazzy Chicken,533.6277062436759,2.9,80.0,"Biryani,Indian",Varachha,64
377778,Central Kolkata,Kolkata,Suman Sweets And Snacks,586.5200596497413,2.9,80.0,Sweets  Snacks,Central Kolkata,57
377818,Koramangala,Bangalore,Ruchi Virundu,508.12779893692743,2.9,80.0,"Biryani,South Indian",Koramangala,61
377857,Kirti Nagar,Delhi,Foodiz Dhaba,562.2265696436475,2.9,80.0,"Chinese,Indian",Kirti Nagar,73
377877,Perambur,Chennai,Ziyach Atho Kadai,594.9500367570313,4.2,50.0,"Street Food,Chinese,Indian",Perambur,53
377889,Central Bangalore,Bangalore,Puppy'S Gastronomy,518.9644769350142,2.9,80.0,"Continental,Italian,Snacks,Beverages",Central Bangalore,50
378002,Tarnaka  Nacharam & Malkajigiri,Hyderabad,Chutney Bowl,1485.1592397512086,4.2,500.0,South Indian,Tarnaka  Nacharam & Malkajigiri,61
378029,Piplod,Surat,Cafe Ashiana,550.4625471587649,2.9,80.0,"Fast Food,North Indian,Italian,Beverages",Piplod,64
378076,Mehdipatnam,Hyderabad,The Hyderabad Chicken Haleem,436.25518914482376,3.2,20.0,Haleem,Mehdipatnam,53
378112,Kilpauk,Chennai,Kites Pure Veg Restaurant,445.54061808593013,2.9,80.0,Indian,Kilpauk,51
378117,Shivaji Nagar,Pune,Chocolate Biclate,579.4930446419519,4.3,50.0,"Bakery,Desserts,Beverages",Shivaji Nagar,46
378150,South Kolkata,Kolkata,Fiery Drumstick,516.5392796243284,2.9,80.0,Chinese,South Kolkata,72
378154,Vastrapur,Ahmedabad,Smokin' Joe'S,591.1475967157185,3.8,50.0,"Italian,Pizzas,Continental,Italian-American",Vastrapur,47
378157,South Kolkata,Kolkata,Zeeshan D.P. Park,748.24756171732,4.4,100.0,"Tandoor,Snacks,Biryani",South Kolkata,68
378205,Annanagar,Chennai,The Asian Hive,754.9768944580495,4.3,100.0,"Chinese,Thai,Asian",Annanagar,63
378321,Punjabi Bagh,Delhi,Shakespeare Cafe (Punjabi Bagh),551.6910495899972,2.9,80.0,"Indian,Tandoor,Chinese",Punjabi Bagh,75
378370,Sinhgad Road,Pune,Italian Hut,608.4442398771424,4.4,20.0,"Continental,Italian",Sinhgad Road,65
378411,Lake Town,Kolkata,Bangaliana,575.1195670312253,3.8,20.0,"Indian,North Indian",Lake Town,88
378436,Lake Town,Kolkata,Ketana,712.9684213858286,4.4,100.0,Indian,Bangur Avenue,78
378469,North Dumdum,Kolkata,Dumghan,786.323039016045,4.5,100.0,"Biryani,North Eastern,Kebabs,Indian",North Dumdum,81
378475,Dumdum,Kolkata,Ananda Mela Confectionery,577.3005835294942,2.9,80.0,"Indian,Bakery,Biryani",Dumdum,75
378482,Salt Lake,Kolkata,Club Loca,532.8909157668533,2.9,80.0,Continental  Indian  Chinese,Salt Lake,70
378508,South Kolkata,Kolkata,Gangotri Sweets And Snacks,721.3164983862172,4.3,100.0,Sweets  Snacks  Chaat,South Kolkata,49
378527,Kalyani Nagar,Pune,Belly Tales,550.3340937947509,3.9,50.0,"North Indian,Chinese,Combo,Pizzas,Beverages",Kalyani Nagar,59
378594,Adajan,Surat,Bro Sis Fast Food Corner,549.5942005528017,2.9,80.0,"Fast Food,Italian",Adajan,59
378719,Indiranagar,Bangalore,Cloud Kitchen Chinni Con Cook,553.432421917459,2.9,80.0,"Continental,Indian,Chinese,Beverages",Indiranagar,65
378734,T Nagar,Chennai,The Degh Story,631.7325249372732,2.9,80.0,"North Indian,Biryani,Hyderabadi,Indian",City Centre,80
378796,Kothrud,Pune,Shivtirth Vadapav,554.733890657317,3.7,20.0,"Indian,Snacks",Kothrud,60
378854,Piplod,Surat,The Wrap Co,660.1341723189298,3.9,100.0,"North Indian,Snacks",Piplod,60
378902,Piplod,Surat,Engine Cafe,620.993269902566,4.0,50.0,"Indian,Continental,Chinese",Piplod,61
378921,Marol Sakinaka,Mumbai,Orange Cakes And Bakers,737.1192726182318,4.1,100.0,"Bakery,Desserts",Marol Sakinaka,48
379007,South Kolkata,Kolkata,Tbc Bowlz,602.9193375309168,4.4,50.0,"Indian,Chinese,Continental",South Kolkata,76
379013,Andheri East,Mumbai,Dooodly Meals,527.1893102501457,2.9,80.0,North Indian,Andheri East,52
379046,Basavanagudi,Bangalore,House Of Belgian,516.7370672548833,2.9,80.0,"Desserts,Beverages,Snacks",Basavanagudi,59
379083,Perambur,Chennai,Hotel Vada Chennai,543.4726312231545,3.8,50.0,"Arabian,South Indian,Grill,Barbecue,Chinese,Biryani,Combo,Ice Cream,Juices,Beverages",Perambur,53
379100,Shivaji Nagar,Pune,Rajmandir Ice Cream,473.0135999331449,4.0,20.0,"Ice Cream,Desserts,Beverages",Shivaji Nagar,27
379121,Mylapore,Chennai,The Nosh,578.122226555471,2.9,80.0,"Fast Food,Beverages,Indian,Tandoor",Mylapore,67
379173,Maninagar,Ahmedabad,Lemon Restaurant,556.5571990287476,2.9,80.0,"South Indian,Continental,Chinese",Maninagar,49
