ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,price_log
50508,Perambur,Chennai,S2C Chaat,100.0,4.1,100.0,"Street Food,Sweets",Perambur,60,4.605170185988091
50658,Banjara Hills,Hyderabad,Keventers - Milkshakes And Desserts,300.0,4.0,50.0,"Beverages,Ice Cream,Desserts,Healthy Food",Gvk One Mall,62,5.703782474656201
50711,Koramangala,Bangalore,Sri Krishna Sagar,126.0,4.2,1000.0,"South Indian,North Indian,Fast Food,Beverages,Jain",6Th Block,53,4.836281906951478
50933,Navrangpura,Ahmedabad,Shree Manmohan Kharek Center,100.0,2.9,80.0,Snacks,Navrangpura,38,4.605170185988091
51056,Pitam Pura,Delhi,Singhs Vada Pav,150.0,4.2,100.0,"Street Food,Fast Food,Snacks,North Indian,Beverages",Opposite M2K Cinema,49,5.0106352940962555
51096,Navrangpura,Ahmedabad,Sankalp,350.0,4.0,20.0,"South Indian,Beverages",Ashram Road,36,5.857933154483459
51160,Ghatkopar East,Mumbai,Krishna Cafe,200.0,2.9,80.0,"Fast Food,Continental",Ghatkopar E,54,5.298317366548036
51420,Ghatkopar East,Mumbai,Shree Gurukrupa (Tilak Road),600.0,4.3,500.0,"North Indian,Chinese",Ghatkopar East,45,6.396929655216146
51448,Naranpura,Ahmedabad,Savoureux,650.0,4.4,100.0,"Indian,Chinese,Continental",Naranpura,45,6.476972362889683
51526,Egmore,Chennai,Hotel Aradhana,350.0,4.2,20.0,"South Indian,Chinese,North Indian",Egmore,34,5.857933154483459
51607,Anand Nagar,Pune,Sudama'S Misal House,250.0,4.3,100.0,"Fast Food,Maharashtrian",Sinhgad Road,63,5.521460917862246
51662,Ashok Nagar,Bangalore,Hari Super Sandwich,100.0,4.0,100.0,Fast Food,Brigade Road,30,4.605170185988091
51680,Bodakdev,Ahmedabad,Cafe De Italiano,650.0,4.0,20.0,Cafe,Sindhubhavan Marg,48,6.476972362889683
51704,Sanjeeva Reddy Nagar,Hyderabad,Hotel Udupi Home,150.0,4.1,500.0,South Indian,S R Nagar Main Road,60,5.0106352940962555
51737,Swargate,Pune,Gokul Chinese,300.0,2.9,80.0,Chinese,Tilak Road,44,5.703782474656201
51887,Adikmet,Hyderabad,Nrs Nandini,150.0,4.3,1000.0,South Indian,Nallakunta Main Rd,27,5.0106352940962555
51889,Gaddiannaram,Hyderabad,Nrs Anand Tiffins,150.0,3.8,100.0,South Indian,Opp Konark Theater,39,5.0106352940962555
51922,Lake Town,Kolkata,Anand Food Plaza,200.0,4.1,100.0,"North Indian,South Indian",Block C Bangur Lake Town,75,5.298317366548036
51962,Royapuram,Chennai,Hotel Sukha Nivas,250.0,4.3,100.0,"South Indian,North Indian,Chinese,Tandoor",Royapuram,56,5.521460917862246
52026,Chennai,Chennai,Chennai Woodlands - Since 1963,300.0,4.2,500.0,"South Indian,North Indian,Desserts,Beverages,Thalis",George Town,45,5.703782474656201
